date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.55,5.09,3.27,2.5,3.68,1.152,315
2019-12-10T00:00:00.000Z,0.64,9.15,1.49,1.1,2.72,1.379,410
2019-12-11T00:00:00.000Z,1.74,6.15,2.96,2.37,3.6,0.845,422
2019-12-12T00:00:00.000Z,1.23,6.95,3.28,2.52,3.9,1.313,178
2019-12-13T00:00:00.000Z,4.12,6.44,5.16,4.62,5.75,0.646,213
2019-12-14T00:00:00.000Z,2.5,18.76,5.28,4.7,7.06,3.483,401
2019-12-15T00:00:00.000Z,1.08,5.7,3,2.25,3.65,1.012,519
2019-12-16T00:00:00.000Z,2.77,7.92,4.66,3.82,5.58,1.167,290
2019-12-17T00:00:00.000Z,4.05,35.83,14.43,8.97,20.55,9.43,290
2019-12-18T00:00:00.000Z,1,15.7,3.97,2.77,5.12,2.548,458
2019-12-19T00:00:00.000Z,7.26,36.2,16.75,11.15,25.66,8.631,539
2019-12-20T00:00:00.000Z,23.84,54.68,40.4,28.95,48.3,9.294,469
2019-12-21T00:00:00.000Z,9.02,48.44,18.13,14.11,22.55,6.642,511
2019-12-22T00:00:00.000Z,7.2,27.74,13.22,10.97,14.63,4.097,588
2019-12-23T00:00:00.000Z,2.04,15.14,8.56,3.78,12.04,4.072,560
2019-12-24T00:00:00.000Z,1.7,26.34,7.4,6.01,9.66,2.814,581
2019-12-25T00:00:00.000Z,1.03,30.48,9.53,1.78,12.73,5.336,582
2019-12-26T00:00:00.000Z,1.32,13.85,3.25,1.85,4.7,1.792,586
2019-12-27T00:00:00.000Z,0.9,7.02,1.72,1.25,1.96,0.568,583
2019-12-28T00:00:00.000Z,2.29,15.82,3.62,3.06,6.28,2.612,589
2019-12-29T00:00:00.000Z,3.78,12.57,6.25,5.38,7.14,1.351,583
2019-12-30T00:00:00.000Z,2.48,15.41,9.48,4.87,12.25,3.661,588
2019-12-31T00:00:00.000Z,1.21,41.45,2.93,2.25,3.72,3.799,573
2020-01-01T00:00:00.000Z,1.54,18.92,3.18,2.29,8.19,3.749,585
2020-01-02T00:00:00.000Z,10.56,32.75,21.65,17.63,24.28,4.941,571
2020-01-03T00:00:00.000Z,2.13,15.66,5.38,4.34,10.6,3.616,542
2020-01-04T00:00:00.000Z,0.85,4.53,1.88,1.4,2.62,0.908,556
2020-01-05T00:00:00.000Z,1.12,34.43,2.86,1.56,7.4,4.363,572
2020-01-06T00:00:00.000Z,3.93,11.08,5.78,5.07,7.05,1.523,234
2020-01-07T00:00:00.000Z,3.42,29.13,11,5.65,16.2,5.702,287
2020-01-08T00:00:00.000Z,4.51,14.52,8.24,6.3,9.82,2.226,505
2020-01-09T00:00:00.000Z,3.42,32.28,7.26,6.16,9.53,3.643,532
2020-01-10T00:00:00.000Z,0.7,32.65,8.19,1.34,10.98,5.221,428
2020-01-11T00:00:00.000Z,1.36,13.55,3.42,2.29,7.8,3.527,528
2020-01-12T00:00:00.000Z,0.9,54.08,4.87,3.65,8.5,5.219,564
2020-01-13T00:00:00.000Z,2.5,67.4,6.2,4.13,9.64,5.605,481
2020-01-14T00:00:00.000Z,2.46,15.25,7.31,3.8,10.97,3.735,446
2020-01-15T00:00:00.000Z,0.65,7.62,2.95,2.36,3.58,1.34,463
2020-01-16T00:00:00.000Z,1.32,73.02,3.84,3.25,9.19,6.633,469
2020-01-17T00:00:00.000Z,5.84,33.29,20.62,13.15,25.6,7.243,471
2020-01-18T00:00:00.000Z,1.05,31.38,3.45,2.84,7.88,8.397,511
2020-01-19T00:00:00.000Z,1.8,28.25,4.07,2.93,5.94,3.717,475
2020-01-20T00:00:00.000Z,2.82,12.28,4.74,4.24,5.4,0.989,371
2020-01-21T00:00:00.000Z,1.3,7.53,3.48,2.11,4.05,1.149,465
2020-01-22T00:00:00.000Z,1.83,2.76,2.25,2.06,2.54,0.28,16
2020-01-23T00:00:00.000Z,1.5,8.35,5.91,4.23,6.74,1.657,82
2020-01-24T00:00:00.000Z,1.32,11.8,2.5,2.06,3.19,1.431,264
2020-01-25T00:00:00.000Z,1.4,16.55,2.31,2,5.18,3.999,299
2020-01-26T00:00:00.000Z,4.47,26.95,13.44,9.34,16.3,4.245,305
2020-01-27T00:00:00.000Z,6.28,25.8,14.91,12.84,19.39,4.806,256
2020-01-28T00:00:00.000Z,2.75,52.78,12.19,9.07,23.94,9.233,272
2020-01-29T00:00:00.000Z,1.27,30,3.61,2.67,9.23,5.684,314
2020-01-30T00:00:00.000Z,0.96,12.6,3.27,2.29,4.23,2.29,297
2020-01-31T00:00:00.000Z,0.55,14.04,3.22,2.16,4.05,1.81,283
2020-02-01T00:00:00.000Z,0.48,8.68,3.88,2.8,4.51,1.494,326
2020-02-02T00:00:00.000Z,1.02,11.3,2.47,2.13,3.05,1.719,325
2020-02-03T00:00:00.000Z,1.3,12.27,2.34,2,3.2,1.88,312
2020-02-04T00:00:00.000Z,0.75,7.5,2.25,1.35,4.13,1.581,261
2020-02-05T00:00:00.000Z,1.1,6.28,1.84,1.5,2.45,0.754,228
2020-02-06T00:00:00.000Z,1.62,22.58,2.38,2.04,3.93,2.663,238
