date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.84,12.06,3.14,1.65,3.76,1.479,322
2019-12-10T00:00:00.000Z,0.64,4.54,1.68,0.94,2.96,1.051,408
2019-12-11T00:00:00.000Z,2.2,8.38,4.2,3.12,5.15,1.359,430
2019-12-12T00:00:00.000Z,0.38,14.28,6.23,2.46,12,4.741,497
2019-12-13T00:00:00.000Z,5.23,25.6,12.38,9.77,20.05,5.676,564
2019-12-14T00:00:00.000Z,1.78,27.26,13.82,8.15,17.82,6.879,398
2019-12-15T00:00:00.000Z,0.92,5.32,3.15,1.92,3.7,1.047,577
2019-12-16T00:00:00.000Z,2.49,6.56,4.12,3.65,5.09,0.951,288
2019-12-17T00:00:00.000Z,2.85,14.92,4.25,3.3,8.96,3.469,291
2019-12-18T00:00:00.000Z,0.82,12.1,3,1.8,3.95,1.917,467
2019-12-19T00:00:00.000Z,6.34,39.03,14.21,10.55,19.57,6.709,554
2019-12-20T00:00:00.000Z,21.76,49.3,30.96,27.04,34.13,6.199,588
2019-12-21T00:00:00.000Z,7.46,27,13.22,9.77,16.13,5.489,572
2019-12-22T00:00:00.000Z,5.35,18.05,8.88,7.28,10.54,2.905,583
2019-12-23T00:00:00.000Z,1.72,19.85,9.89,5.5,12.35,4.1,582
2019-12-24T00:00:00.000Z,1.9,15.12,5.95,3.62,7.26,2.818,582
2019-12-25T00:00:00.000Z,0.5,15.83,8.71,1.41,12.75,5.561,586
2019-12-26T00:00:00.000Z,0.82,8.3,2.02,1.56,2.56,0.9,584
2019-12-27T00:00:00.000Z,0.46,6.33,1.25,0.8,1.64,0.586,584
2019-12-28T00:00:00.000Z,1.2,34.15,3.19,2.21,4.25,2.809,582
2019-12-29T00:00:00.000Z,2.86,13.13,7.19,5.01,7.85,1.767,591
2019-12-30T00:00:00.000Z,3.01,11.98,7.78,5.28,10.02,2.308,580
2019-12-31T00:00:00.000Z,1.74,54.4,4.01,2.76,5.27,7.337,570
2020-01-01T00:00:00.000Z,1.52,45.3,4.25,2.68,8.34,7.767,581
2020-01-02T00:00:00.000Z,7.92,31.33,19.3,14.77,22.78,5.425,571
2020-01-03T00:00:00.000Z,2.11,16.2,8.33,5.27,12.6,4.018,548
2020-01-04T00:00:00.000Z,0.7,6.22,1.88,1.35,3.23,1.308,553
2020-01-05T00:00:00.000Z,1.25,20.9,3.62,2.73,9.25,4.661,563
2020-01-06T00:00:00.000Z,3.1,24.07,11.98,9.38,16.07,5.305,519
2020-01-07T00:00:00.000Z,2.88,27.86,13.92,6.65,16.16,6.101,515
2020-01-08T00:00:00.000Z,5.84,15.12,9.3,7.25,11.38,2.444,485
2020-01-09T00:00:00.000Z,0.93,16.76,6.98,5.88,9.05,3.657,526
2020-01-10T00:00:00.000Z,0.45,16.26,8.26,2.68,11.7,4.64,429
2020-01-11T00:00:00.000Z,0.7,20.8,2.76,1.12,9.3,4.016,526
2020-01-12T00:00:00.000Z,0.4,11.72,3.86,2.24,9.03,3.45,559
2020-01-13T00:00:00.000Z,2.64,17.07,4.96,3.65,9.05,3.697,488
2020-01-14T00:00:00.000Z,1.7,11.35,5.85,2.81,8.48,2.954,445
2020-01-15T00:00:00.000Z,0.77,5.18,2.37,1.99,2.65,0.836,456
2020-01-16T00:00:00.000Z,0.99,15.04,4.5,3.75,5.82,3.06,476
2020-01-17T00:00:00.000Z,3.24,21.04,13.02,8.85,16.3,4.516,470
2020-01-18T00:00:00.000Z,1.26,25.86,3.06,2.35,5.07,6.836,503
2020-01-19T00:00:00.000Z,1.9,32.86,3.8,3.12,5.07,2.573,465
2020-01-20T00:00:00.000Z,3.36,12.18,4.45,4.12,5.09,1.823,369
2020-01-21T00:00:00.000Z,0.94,5.46,3.2,1.88,3.83,1.076,454
2020-01-22T00:00:00.000Z,2.06,3,2.41,2.2,2.63,0.282,16
2020-01-23T00:00:00.000Z,3.38,9.1,7.54,6.18,8.3,1.417,86
2020-01-24T00:00:00.000Z,1.72,8.69,4.2,2.91,5.57,1.675,265
2020-01-25T00:00:00.000Z,1.12,14.32,1.84,1.58,6.77,4.545,299
2020-01-26T00:00:00.000Z,8.6,21.88,15.08,12.1,18.3,3.351,307
2020-01-27T00:00:00.000Z,10.62,29.01,19.01,17.03,20.77,3.47,258
2020-01-28T00:00:00.000Z,2.43,21.04,6.32,5,9.1,4.805,278
2020-01-29T00:00:00.000Z,1.28,11.72,2.72,2.04,3.8,2.346,311
2020-01-30T00:00:00.000Z,0.95,11.44,3.28,2.04,4.26,1.913,295
2020-01-31T00:00:00.000Z,1.58,8.27,4.51,3.6,5.65,1.412,285
2020-02-01T00:00:00.000Z,0.66,9,3.72,2.76,4.59,1.441,327
2020-02-02T00:00:00.000Z,1.2,4.04,2.6,2.37,2.84,0.425,338
2020-02-03T00:00:00.000Z,1.2,7.08,2.83,2.34,4.3,1.368,312
2020-02-04T00:00:00.000Z,0.35,5.82,2.8,0.75,4.11,1.739,257
2020-02-05T00:00:00.000Z,0.48,3.67,1.46,0.95,2.2,0.866,238
2020-02-06T00:00:00.000Z,1.74,8.46,2.88,2.52,3.24,1.084,241
2020-02-07T00:00:00.000Z,1.68,60.18,4.12,3.27,5.14,4.417,212
2020-02-08T00:00:00.000Z,4.25,19.79,12.2,7.65,13.4,3.468,193
2020-02-09T00:00:00.000Z,0.88,26.88,7.47,3.1,21.37,8.56,362
2020-02-10T00:00:00.000Z,0.9,5.32,2.45,1.82,3.38,1.047,369
2020-02-11T00:00:00.000Z,0.6,4.96,1.91,1.48,2.34,0.889,366
2020-02-12T00:00:00.000Z,0.9,5.13,2.6,1.65,3.75,1.074,382
2020-02-13T00:00:00.000Z,0.75,24.4,3,1.9,3.96,1.762,377
2020-02-14T00:00:00.000Z,2.12,14.01,6.48,5.22,7.75,2.364,383
2020-02-15T00:00:00.000Z,4.7,21.03,11.97,6.83,17.02,5.186,327
2020-02-16T00:00:00.000Z,0.45,3.42,2.08,1.64,2.34,0.641,369
2020-02-17T00:00:00.000Z,1.05,6.88,3.89,3.22,5.34,1.272,349
2020-02-18T00:00:00.000Z,1.14,5.65,3.55,2.95,4.24,0.979,312
2020-02-19T00:00:00.000Z,0.38,13.5,2.17,1.68,3.46,3.022,453
2020-02-20T00:00:00.000Z,1.6,10.8,4.98,4.3,6.97,2.198,498
2020-02-21T00:00:00.000Z,0.5,6.85,3.9,3.26,4.5,1.191,437
2020-02-22T00:00:00.000Z,1.13,10,3.95,2.52,4.86,1.983,460
2020-02-23T00:00:00.000Z,0.82,6.36,3.74,2.43,4.84,1.361,449
2020-02-24T00:00:00.000Z,0.93,4.38,2.4,2.06,2.67,0.596,524
2020-02-25T00:00:00.000Z,0.57,4.01,1.77,1.28,2.31,0.719,466
2020-02-26T00:00:00.000Z,0.4,10.02,0.92,0.76,1.08,0.91,413
2020-02-27T00:00:00.000Z,0.75,8.38,1.56,1.2,2.44,1.798,563
2020-02-28T00:00:00.000Z,0.75,11.23,2.98,1.68,4.86,2.681,565
2020-02-29T00:00:00.000Z,0.65,12.48,4.84,2.25,6.47,2.41,572
2020-03-01T00:00:00.000Z,1.07,3.72,2.12,1.79,2.41,0.444,572
2020-03-02T00:00:00.000Z,1.3,12.24,2.27,2.04,2.72,1.467,492
2020-03-03T00:00:00.000Z,4.23,27.3,9.88,8.26,11.9,3.377,429
2020-03-04T00:00:00.000Z,1.65,13.9,4.87,3.2,7.42,2.704,583
2020-03-05T00:00:00.000Z,1.96,23.46,5.85,3.92,8.83,4.555,583
2020-03-06T00:00:00.000Z,8.51,27,16.22,11.74,22.45,5.221,587
2020-03-07T00:00:00.000Z,3.22,38.15,8,6.34,9.27,5.156,586
2020-03-08T00:00:00.000Z,6.1,22.05,10.16,7.75,12.55,3.696,586
2020-03-09T00:00:00.000Z,3.18,16.75,7.94,5.62,13.4,4.096,583
2020-03-10T00:00:00.000Z,1.27,19.8,5.86,3.52,9.47,4.495,584
2020-03-11T00:00:00.000Z,2.04,5.15,3.26,2.74,3.78,0.693,585
2020-03-12T00:00:00.000Z,1.06,10.72,2.95,2.27,3.95,2.058,515
2020-03-13T00:00:00.000Z,0.37,4.8,1.88,1.05,3.55,1.236,536
2020-03-14T00:00:00.000Z,0.4,6.55,0.8,0.68,0.97,0.402,544
2020-03-15T00:00:00.000Z,2.74,5.4,4.32,4.05,4.55,0.481,292
2020-03-16T00:00:00.000Z,1.3,10.7,3.01,2.16,3.58,1.471,582
2020-03-17T00:00:00.000Z,1.56,12.58,4.25,2.66,7.87,3.048,583
2020-03-18T00:00:00.000Z,1.2,12.54,7.28,5.87,8.43,2.68,516
2020-03-19T00:00:00.000Z,1.2,3.98,2.48,2.04,2.95,0.568,565
2020-03-20T00:00:00.000Z,0.36,4.9,1.58,0.95,3,1.236,488
2020-03-21T00:00:00.000Z,0.3,13.26,0.96,0.7,1.14,0.847,496
2020-03-22T00:00:00.000Z,0.65,2.35,1.08,0.9,1.36,0.314,493
2020-03-23T00:00:00.000Z,0.92,2.88,1.72,1.45,1.9,0.33,487
2020-03-24T00:00:00.000Z,2.18,11,3.74,3.15,4.58,1.701,499
2020-03-25T00:00:00.000Z,4.92,27.95,8.1,7.03,9.85,2.175,470
2020-03-26T00:00:00.000Z,4.59,15.08,9.02,7.12,11.1,2.495,455
2020-03-27T00:00:00.000Z,7.33,19.89,12.36,9.49,14.82,2.929,396
2020-03-28T00:00:00.000Z,1.64,24.58,15.1,7.92,19.04,6.119,182
2020-03-29T00:00:00.000Z,0.32,2,1.06,0.74,1.25,0.341,365
