date,min,max,median,q1,q3,stdev,count
2023-07-11T00:00:00.000Z,1.85,4,2.6,2.4,3.03,0.475,110
2023-07-12T00:00:00.000Z,0.8,7.88,2.83,2.2,4.07,1.566,563
2023-07-13T00:00:00.000Z,1,3.3,1.75,1.5,2,0.374,553
2023-07-14T00:00:00.000Z,0.8,49.58,1.7,1.38,2.27,2.198,542
2023-07-15T00:00:00.000Z,1.3,7.22,3.15,2.49,3.6,0.836,585
2023-07-16T00:00:00.000Z,0.85,10.38,2.15,1.76,3.22,1.115,585
2023-07-17T00:00:00.000Z,0.82,6.07,2.5,1.5,3.67,1.223,382
2023-07-18T00:00:00.000Z,0.6,11.55,1.38,1.1,1.63,1.217,586
2023-07-19T00:00:00.000Z,0.75,3.6,1.2,1.07,1.38,0.268,472
2023-07-20T00:00:00.000Z,0.2,3.35,1.3,0.77,1.6,0.52,563
2023-07-21T00:00:00.000Z,0.8,5.18,1.4,1.2,2,0.765,576
2023-07-22T00:00:00.000Z,0.4,3.22,1.2,0.88,1.85,0.581,590
2023-07-23T00:00:00.000Z,1.14,19.02,3.4,2.33,5.05,2.34,583
2023-07-24T00:00:00.000Z,2.78,10.07,4.48,3.83,5.68,1.481,584
2023-07-25T00:00:00.000Z,0.88,8.8,1.49,1.3,1.73,0.913,580
2023-07-26T00:00:00.000Z,0.5,3.33,1.08,0.9,1.6,0.55,584
2023-07-27T00:00:00.000Z,0.9,3.97,1.92,1.42,2.4,0.569,577
2023-07-28T00:00:00.000Z,1.2,6.65,3,1.95,3.65,1.306,573
2023-07-29T00:00:00.000Z,1.2,18.73,4.43,2.54,7.97,4.011,585
2023-07-30T00:00:00.000Z,1.14,9.15,2.15,1.75,3.22,1.17,586
2023-07-31T00:00:00.000Z,0.52,5.32,1.5,1.17,2,0.662,584
2023-08-01T00:00:00.000Z,0.4,4.72,1,0.8,1.25,0.692,589
2023-08-02T00:00:00.000Z,0.7,6.13,1.6,1.25,2.33,0.975,573
2023-08-03T00:00:00.000Z,0.56,5.68,1.65,1.2,2.46,1.092,572
2023-08-04T00:00:00.000Z,1.02,8.5,2.08,1.6,2.67,1.61,586
2023-08-05T00:00:00.000Z,0.75,6.2,1.6,1.3,2.1,0.935,583
