date,min,max,median,q1,q3,stdev,count
2021-01-13T00:00:00.000Z,0,164,3,2,4,11.878,277
2021-01-14T00:00:00.000Z,4,38,14.5,12,18,4.942,264
2021-01-15T00:00:00.000Z,2,85,10,8,19,10.311,283
2021-01-16T00:00:00.000Z,5,88,15,11,23,12.55,269
2021-01-17T00:00:00.000Z,4,111,15,8,27,13.626,252
2021-01-18T00:00:00.000Z,11,143,29,20,49.5,22.686,245
2021-01-19T00:00:00.000Z,9,154,20,16,28,26.352,215
2021-01-20T00:00:00.000Z,1,39,16,10,21,8.421,265
2021-01-21T00:00:00.000Z,0,25,4,2,10,4.605,247
2021-01-22T00:00:00.000Z,0,15,5,3,7,2.749,260
2021-01-23T00:00:00.000Z,4,106,18,11,25,12.083,261
2021-01-24T00:00:00.000Z,15,106,33,25,46,13.489,280
2021-01-25T00:00:00.000Z,12,83,31,25,35,7.593,245
2021-01-26T00:00:00.000Z,1,120,15.5,9,21,11.191,286
2021-01-27T00:00:00.000Z,8,85,32,26,48,18.805,255
2021-01-28T00:00:00.000Z,1,50,6,4,10,12.508,293
2021-01-29T00:00:00.000Z,1,47,8,5,13,9.016,294
2021-01-30T00:00:00.000Z,2,100,12,8,18,9.504,269
2021-01-31T00:00:00.000Z,1,51,10,5,17,7.293,286
2021-02-01T00:00:00.000Z,2,91,21,14,26,12.457,203
2021-02-18T00:00:00.000Z,31,214,59,53,64,22.182,65
2021-02-19T00:00:00.000Z,12,102,28,23,52,25.201,246
2021-02-20T00:00:00.000Z,7,240,24,16,30,18.32,254
2021-02-21T00:00:00.000Z,19,101,38,31,51,12.03,266
2021-02-22T00:00:00.000Z,27,103,45,38,53,11.311,222
2021-02-23T00:00:00.000Z,20,299,45,38,53,25.023,232
2021-02-24T00:00:00.000Z,12,56,23,18,41,12.016,238
2021-02-25T00:00:00.000Z,7,44,20,16,25,7.096,238
2021-02-26T00:00:00.000Z,1,44,7,5,11,5.744,229
2021-02-27T00:00:00.000Z,0,59,7,3,17,9.487,267
2021-02-28T00:00:00.000Z,4,43,15,9,19,5.83,266
2021-03-01T00:00:00.000Z,8,43,19,15,24,6.95,240
2021-03-02T00:00:00.000Z,9,48,17,15,22,5.018,258
2021-03-03T00:00:00.000Z,6,52,19,15,26,8.465,236
2021-03-04T00:00:00.000Z,0,39,7,2,18,8.803,232
2021-03-05T00:00:00.000Z,0,83,1,0,4,7.911,258
2021-03-06T00:00:00.000Z,0,30,5,3,14,7.196,247
2021-03-07T00:00:00.000Z,0,19,4,0,6,3.451,273
2021-03-08T00:00:00.000Z,0,80,2,0,8,9.394,251
2021-03-09T00:00:00.000Z,1,44,5,3,9,6.409,257
2021-03-10T00:00:00.000Z,4,89,19,12,23,11.472,236
2021-03-11T00:00:00.000Z,1,82,27,15,39.5,19.38,244
2021-03-12T00:00:00.000Z,1,30,6,4,8,4.895,252
2021-03-13T00:00:00.000Z,0,146,10,5,17,13.553,254
2021-03-14T00:00:00.000Z,0,21,6,3,10,4.746,246
2021-03-15T00:00:00.000Z,0,29,3,1,5,3.219,229
2021-03-16T00:00:00.000Z,0,51,2,1,3,7.391,230
2021-03-17T00:00:00.000Z,0,50,3,1,4,5.617,262
2021-03-18T00:00:00.000Z,0,36,3,2,6,5.255,244
2021-03-19T00:00:00.000Z,0,66,2,1,8,10.636,245
2021-03-20T00:00:00.000Z,1,27,7,4,16,7.04,256
2021-03-21T00:00:00.000Z,0,31,1,0,3,3.73,246
2021-03-22T00:00:00.000Z,0,31,3,1,5,3.937,246
2021-03-23T00:00:00.000Z,4,31,12.5,9,16,4.533,326
2021-03-24T00:00:00.000Z,16,84,47,40,61,14.007,247
2021-03-25T00:00:00.000Z,4,100,17,8,50,32.261,237
2021-03-26T00:00:00.000Z,11,104,43,23,59,24.788,267
2021-03-27T00:00:00.000Z,1,152,17,5,109,51.924,284
2021-03-28T00:00:00.000Z,1,48,13,6,26,13.16,208
2021-03-29T00:00:00.000Z,17,45,31,28,34,4.961,201
2021-03-30T00:00:00.000Z,7,44,24,16,31,8.615,224
2021-03-31T00:00:00.000Z,10,56,28,20,33,8.216,199
2021-04-01T00:00:00.000Z,0,91,2,0,30.5,19.741,180
2021-04-02T00:00:00.000Z,0,40,4,1,9,7.481,203
2021-04-03T00:00:00.000Z,0,9,0,0,1,1.084,212
2021-04-04T00:00:00.000Z,0,26,8,5,13,5.684,210
2021-04-05T00:00:00.000Z,0,33,1,1,2,5.454,182
2021-04-06T00:00:00.000Z,0,12,2,1,3,1.587,245
2021-04-07T00:00:00.000Z,0,94,2,1,3,9.343,167
2021-04-08T00:00:00.000Z,0,52,3,2,8,11.201,195
2021-04-09T00:00:00.000Z,0,80,10,2,60,29.018,195
2021-04-10T00:00:00.000Z,0,12,1.5,1,3,1.98,174
2021-04-11T00:00:00.000Z,0,70,5,2,30,19.279,143
2021-04-12T00:00:00.000Z,0,21,2,1,4.5,4.633,144
2021-04-13T00:00:00.000Z,0,11,2,2,3,1.806,142
2021-04-14T00:00:00.000Z,0,27,1,0,3,4.035,134
2021-04-15T00:00:00.000Z,0,33,1,0,2,3.967,126
2021-04-16T00:00:00.000Z,0,11,1,1,2,1.6,135
2021-04-17T00:00:00.000Z,0,17,5,2,7,3.221,150
2021-04-18T00:00:00.000Z,1,21,6,3,9,3.608,134
2021-04-19T00:00:00.000Z,0,18,8,5,9,3.149,131
2021-04-20T00:00:00.000Z,2,13,6,4,8,2.129,124
2021-04-21T00:00:00.000Z,0,60,3,1,6,12.635,128
2021-04-22T00:00:00.000Z,0,11,1,0,2,1.778,120
2021-04-23T00:00:00.000Z,0,8,1,0,3,2.232,114
2021-04-24T00:00:00.000Z,0,4,0,0,1,1.108,130
2021-04-25T00:00:00.000Z,0,5,0,0,1,1.174,161
2021-04-26T00:00:00.000Z,0,18,1,0,1,2.016,135
2021-04-27T00:00:00.000Z,0,24,2,1,3,2.61,128
2021-04-28T00:00:00.000Z,1,42,11,5,19,10.222,131
2021-04-29T00:00:00.000Z,15,55,29,24,37,9.035,115
2021-04-30T00:00:00.000Z,3,66,8,5,22,15.76,108
2021-05-01T00:00:00.000Z,2,89,8,6,17,16.827,137
2021-05-02T00:00:00.000Z,1,44,5,3,8,4.718,136
2021-05-03T00:00:00.000Z,2,49,10,5,25,11.837,127
2021-05-04T00:00:00.000Z,0,86,26.5,6,34,15.057,124
2021-05-05T00:00:00.000Z,0,10,2,1,4,1.863,126
2021-05-06T00:00:00.000Z,0,6,2,1,3,1.443,119
2021-05-07T00:00:00.000Z,0,15,4,2,5,2.948,122
2021-05-08T00:00:00.000Z,1,12,6,5,8,2.373,130
2021-05-09T00:00:00.000Z,5,39,10,7,15,7.068,144
2021-05-10T00:00:00.000Z,4,18,9,7,11,2.787,135
2021-05-11T00:00:00.000Z,1,36,12,6,26,10.507,124
2021-05-12T00:00:00.000Z,10,34,22,16,25,5.803,114
2021-05-13T00:00:00.000Z,7,33,18,12,24,6.943,144
2021-05-14T00:00:00.000Z,0,29,3,2,12,5.762,132
2021-05-15T00:00:00.000Z,4,78,13,8,30,16.405,147
2021-05-16T00:00:00.000Z,2,42,18,8,28.5,10.991,149
2021-05-17T00:00:00.000Z,1,33,8,4,20,9.062,134
2021-05-18T00:00:00.000Z,4,30,9,7,11.5,7.049,116
2021-05-19T00:00:00.000Z,1,32,6,3,13,6.874,151
2021-05-20T00:00:00.000Z,1,19,4,3,13,5.311,154
2021-05-21T00:00:00.000Z,2,19,8,6,10,3.309,148
2021-05-22T00:00:00.000Z,0,16,4,2,7,3.664,125
2021-05-23T00:00:00.000Z,0,14,2,2,4,2.679,165
2021-05-24T00:00:00.000Z,2,19,5.5,4,7.5,2.931,148
2021-05-25T00:00:00.000Z,5,37,15,13,21,5.607,163
2021-05-26T00:00:00.000Z,2,21,8,5,9,3.345,168
2021-05-27T00:00:00.000Z,1,40,6,3,14,6.342,155
2021-05-28T00:00:00.000Z,2,21,6,5,13,4.83,160
2021-05-29T00:00:00.000Z,4,31,12,10,18,6.131,139
2021-05-30T00:00:00.000Z,5,21,9,8,12,3.192,170
2021-05-31T00:00:00.000Z,3,24,11,8,13,3.991,134
2021-06-01T00:00:00.000Z,0,32,3,2,7,8.739,179
2021-06-02T00:00:00.000Z,5,29,12,10,15,5.291,169
2021-06-03T00:00:00.000Z,4,23,9,7,10,3.12,151
